Athlete,Event,Simpson,Navy Open,Navy-2,Springfield,Okla.,Penn. St.,Navy-3,Cal,Penn St.,USAG,ECAC,NCAA,S. High,C. High
"Pizem, R.",PH,10.95,11.85,11.75,10.95,12.55,11.4,11.1,11.55,12.25,11.15,10.6,,12.55,12.55
"Pizem, R.",R,,,,,,,,,,,,,,
"Pizem, R.",VT,13.65,14.1,13.6,14.1,13.85,13.95,13.75,13.95,13.9,13.8,14,13.633,14.1,14.1
"Pizem, R.",PB,12.15,,10.65,,,,,,,,,,12.15,12.15
"Pizem, R.",HB,12.7,12.35,12.9,12.2,12.7,12.6,12.95,13,13.15,12.85,12.4,12.433,13.15,13.15
"Pizem, R.",AA,,,,,,,,,,,,,,
"Sikra, E.",FE,11.6,12.1,12.2,12.1,12.95,,13,,11.15,12.45,13.25,,13.25,13.25
"Sikra, E.",PH,,,,,,,,,,,,,,
"Sikra, E.",R,11.85,11.5,11.55,12.1,10.8,12.5,,12.55,11.95,,,,12.55,12.55
"Sikra, E.",VT,8.85,,13.4,14.2,13.2,12.85,13.85,14.15,14.05,14.05,14.05,13.533,14.2,14.2
"Sikra, E.",PB,,,,,,,,,,,,,,
"Sikra, E.",HB,,12.6,12.75,13.15,12.7,12.7,12.65,12.95,13,13.15/12.9,12.75,10.933,13.15,13.15
"Sikra, E.",AA,,,,,,,,,,,,,,
"Smith, S.",FE,12.6,12.55,12.1,11.8,,,,,,,,,12.6,12.6
"Smith, S.",PH,9.65,,11.75,12.85,12.5,13.35,12.6,13.2,13.15,13.0/12.85,12.9,11.666,13.35,13.35
"Smith, S.",R,,,,,,,,,,,,,,
"Smith, S.",VT,,13.25,13.5,,,,,,,,,,13.5,13.5
"Smith, S.",PB,,,,,,,,,,,,,,
"Smith, S.",HB,11.95,,,,,,,,,,,,11.95,11.95
"Smith, S.",AA,,,,,,,,,,,,,,
Team,FE,60.25,61.45,57.5,63.6,65.65,66.2,63,65.05,63.3,64.55,65.5,,66.2,69.65
Team,PH,52.65,58.45,58.75,60.95,61.1,62.1,61.05,60.3,62.1,60.8,59.2,,62.1,68.6
Team,R,62.45,59.5,62,62.7,60.95,63.05,61.9,61.7,61.05,60.25,62.75,,63.05,70.9
Team,VT,62.65,67.35,67.7,69.5,68.1,68.55,68.75,69.85,69.05,69,69.7,,69.85,70.9
Team,PB,61.85,63.15,60.55,59.25,63.25,63.75,62.85,64.45,64.85,63.6,63.65,,64.85,69
Team,HB,60.9,60.45,58.6,62.6,61.7,62.35,62.15,62.85,62.4,64,62.75,,64,69.4
Team,Total,360.75,370.35,365.1,378.6,380.75,386,379.7,384.2,382.75,382.2,383.55,,386,412.7
